# init_date: 2026-05-01
# valid_start: 2026-07-01
# valid_end: 2026-07-31
# forecast_source: seas5_operational_2026
# forecast_system_version: SEAS5
# n_ensemble_members: 25
# observation_dataset: chirps_obs
# climatology_period: obs_1993_2025
# index_definition: SPI-1 (accumulation: 1 month(s))
# bias_correction_method: QDM (applied upstream by data provider, prior to ingestion)
# processing_date: 2026-07-18T22:29:21.756413+00:00
# software_version: 0.1.0-phase1
# spatial_resolution_deg: 0.25
lat,lon,spatial_ref,spi_median
3.125,33.125,0,
3.125,33.375,0,
3.125,33.625,0,
3.125,33.875,0,
3.125,34.125,0,
3.125,34.375,0,
3.125,34.625,0,
3.125,34.875,0,
3.125,35.125,0,
3.125,35.375,0,
3.125,35.625,0,
3.125,35.875,0,
3.125,36.125,0,
3.125,36.375,0,
3.125,36.625,0,
3.125,36.875,0,
3.125,37.125,0,
3.125,37.375,0,
3.125,37.625,0,
3.125,37.875,0,
3.125,38.125,0,
3.125,38.375,0,
3.125,38.625,0,
3.125,38.875,0,
3.125,39.125,0,
3.125,39.375,0,
3.125,39.625,0,
3.125,39.875,0,
3.125,40.125,0,
3.125,40.375,0,
3.125,40.625,0,
3.125,40.875,0,
3.125,41.125,0,
3.125,41.375,0,
3.125,41.625,0,
3.125,41.875,0,
3.125,42.125,0,
3.125,42.375,0,
3.125,42.625,0,
3.125,42.875,0,
3.125,43.125,0,
3.125,43.375,0,
3.125,43.625,0,
3.125,43.875,0,
3.125,44.125,0,
3.125,44.375,0,
3.125,44.625,0,
3.125,44.875,0,
3.125,45.125,0,
3.125,45.375,0,
3.125,45.625,0,
3.125,45.875,0,
3.125,46.125,0,
3.125,46.375,0,
3.125,46.625,0,
3.125,46.875,0,
3.125,47.125,0,
3.125,47.375,0,
3.125,47.625,0,
3.125,47.875,0,
3.375,33.125,0,
3.375,33.375,0,
3.375,33.625,0,
3.375,33.875,0,
3.375,34.125,0,
3.375,34.375,0,
3.375,34.625,0,
3.375,34.875,0,
3.375,35.125,0,
3.375,35.375,0,
3.375,35.625,0,
3.375,35.875,0,
3.375,36.125,0,
3.375,36.375,0,
3.375,36.625,0,
3.375,36.875,0,
3.375,37.125,0,
3.375,37.375,0,
3.375,37.625,0,
3.375,37.875,0,
3.375,38.125,0,
3.375,38.375,0,
3.375,38.625,0,
3.375,38.875,0,
3.375,39.125,0,-1.3754451777900736
3.375,39.375,0,-1.1647300204542241
3.375,39.625,0,-1.202716218701239
3.375,39.875,0,
3.375,40.125,0,
3.375,40.375,0,
3.375,40.625,0,
3.375,40.875,0,
3.375,41.125,0,
3.375,41.375,0,
3.375,41.625,0,
3.375,41.875,0,
3.375,42.125,0,
3.375,42.375,0,
3.375,42.625,0,
3.375,42.875,0,
3.375,43.125,0,
3.375,43.375,0,
3.375,43.625,0,
3.375,43.875,0,
3.375,44.125,0,
3.375,44.375,0,
3.375,44.625,0,
3.375,44.875,0,
3.375,45.125,0,
3.375,45.375,0,
3.375,45.625,0,
3.375,45.875,0,
3.375,46.125,0,
3.375,46.375,0,
3.375,46.625,0,
3.375,46.875,0,
3.375,47.125,0,
3.375,47.375,0,
3.375,47.625,0,
3.375,47.875,0,
3.625,33.125,0,
3.625,33.375,0,
3.625,33.625,0,
3.625,33.875,0,
3.625,34.125,0,
3.625,34.375,0,
3.625,34.625,0,
3.625,34.875,0,
3.625,35.125,0,
3.625,35.375,0,
3.625,35.625,0,
3.625,35.875,0,
3.625,36.125,0,
3.625,36.375,0,
3.625,36.625,0,
3.625,36.875,0,
3.625,37.125,0,
3.625,37.375,0,
3.625,37.625,0,
3.625,37.875,0,-4.177286594353433
3.625,38.125,0,-2.2187218914526583
3.625,38.375,0,-2.2550454841338716
3.625,38.625,0,-1.7308166204758462
3.625,38.875,0,-1.8102804011904339
3.625,39.125,0,-1.5540723669464827
3.625,39.375,0,-1.568187394436565
3.625,39.625,0,-1.060598919462408
3.625,39.875,0,-0.37385890675961275
3.625,40.125,0,
3.625,40.375,0,
3.625,40.625,0,
3.625,40.875,0,
3.625,41.125,0,
3.625,41.375,0,
3.625,41.625,0,
3.625,41.875,0,
3.625,42.125,0,
3.625,42.375,0,
3.625,42.625,0,
3.625,42.875,0,
3.625,43.125,0,
3.625,43.375,0,
3.625,43.625,0,
3.625,43.875,0,
3.625,44.125,0,
3.625,44.375,0,
3.625,44.625,0,
3.625,44.875,0,
3.625,45.125,0,
3.625,45.375,0,
3.625,45.625,0,
3.625,45.875,0,
3.625,46.125,0,
3.625,46.375,0,
3.625,46.625,0,
3.625,46.875,0,
3.625,47.125,0,
3.625,47.375,0,
3.625,47.625,0,
3.625,47.875,0,
3.875,33.125,0,
3.875,33.375,0,
3.875,33.625,0,
3.875,33.875,0,
3.875,34.125,0,
3.875,34.375,0,
3.875,34.625,0,
3.875,34.875,0,
3.875,35.125,0,
3.875,35.375,0,
3.875,35.625,0,
3.875,35.875,0,
3.875,36.125,0,
3.875,36.375,0,
3.875,36.625,0,
3.875,36.875,0,
3.875,37.125,0,
3.875,37.375,0,
3.875,37.625,0,-4.753424308822899
3.875,37.875,0,-4.753424308822899
3.875,38.125,0,-4.753424308822899
3.875,38.375,0,-3.381189607008166
3.875,38.625,0,-3.2989998153205584
3.875,38.875,0,-2.043768040691688
3.875,39.125,0,-1.7596864721228296
3.875,39.375,0,-1.6023970701210084
3.875,39.625,0,-1.2201157569845722
3.875,39.875,0,-0.27263439103747794
3.875,40.125,0,0.19352922680254636
3.875,40.375,0,
3.875,40.625,0,
3.875,40.875,0,
3.875,41.125,0,0.9103165817550278
3.875,41.375,0,-1.297566390469672
3.875,41.625,0,0.9084578685373853
3.875,41.875,0,0.9084578685373853
3.875,42.125,0,
3.875,42.375,0,
3.875,42.625,0,
3.875,42.875,0,
3.875,43.125,0,
3.875,43.375,0,
3.875,43.625,0,
3.875,43.875,0,
3.875,44.125,0,
3.875,44.375,0,
3.875,44.625,0,
3.875,44.875,0,
3.875,45.125,0,
3.875,45.375,0,
3.875,45.625,0,
3.875,45.875,0,
3.875,46.125,0,
3.875,46.375,0,
3.875,46.625,0,
3.875,46.875,0,
3.875,47.125,0,
3.875,47.375,0,
3.875,47.625,0,
3.875,47.875,0,
4.125,33.125,0,
4.125,33.375,0,
4.125,33.625,0,
4.125,33.875,0,
4.125,34.125,0,
4.125,34.375,0,
4.125,34.625,0,
4.125,34.875,0,
4.125,35.125,0,
4.125,35.375,0,
4.125,35.625,0,
4.125,35.875,0,
4.125,36.125,0,
4.125,36.375,0,
4.125,36.625,0,
4.125,36.875,0,
4.125,37.125,0,-4.753424308822899
4.125,37.375,0,-4.753424308822899
4.125,37.625,0,-4.753424308822899
4.125,37.875,0,-4.753424308822899
4.125,38.125,0,-4.753424308822899
4.125,38.375,0,-4.72937368667124
4.125,38.625,0,-4.347683020161578
4.125,38.875,0,-2.619069343590289
4.125,39.125,0,-2.2692088329284243
4.125,39.375,0,-1.7524465411250856
4.125,39.625,0,-1.4386692683702746
4.125,39.875,0,-0.043393683923038356
4.125,40.125,0,-0.23722110843936237
4.125,40.375,0,-0.2736093037423649
4.125,40.625,0,-0.32266725632357446
4.125,40.875,0,-0.7274220819159903
4.125,41.125,0,-0.02990877795635009
4.125,41.375,0,-2.009737379932802
4.125,41.625,0,0.9084578685373853
4.125,41.875,0,0.9084578685373853
4.125,42.125,0,0.9084578685373853
4.125,42.375,0,0.9084578685373853
4.125,42.625,0,0.7990827621351786
4.125,42.875,0,
4.125,43.125,0,
4.125,43.375,0,
4.125,43.625,0,
4.125,43.875,0,
4.125,44.125,0,
4.125,44.375,0,
4.125,44.625,0,
4.125,44.875,0,
4.125,45.125,0,
4.125,45.375,0,
4.125,45.625,0,
4.125,45.875,0,
4.125,46.125,0,
4.125,46.375,0,
4.125,46.625,0,
4.125,46.875,0,
4.125,47.125,0,
4.125,47.375,0,
4.125,47.625,0,
4.125,47.875,0,
4.375,33.125,0,
4.375,33.375,0,
4.375,33.625,0,
4.375,33.875,0,
4.375,34.125,0,
4.375,34.375,0,
4.375,34.625,0,
4.375,34.875,0,
4.375,35.125,0,
4.375,35.375,0,
4.375,35.625,0,
4.375,35.875,0,-3.3085524382651936
4.375,36.125,0,-4.459488500135544
4.375,36.375,0,-4.753424308822899
4.375,36.625,0,-4.753424308822899
4.375,36.875,0,-4.753424308822899
4.375,37.125,0,-4.753424308822899
4.375,37.375,0,-4.753424308822899
4.375,37.625,0,-4.753424308822899
4.375,37.875,0,-4.753424308822899
4.375,38.125,0,-4.753424308822899
4.375,38.375,0,-4.753424308822899
4.375,38.625,0,-4.006409902177798
4.375,38.875,0,-3.258901031647847
4.375,39.125,0,-2.4735544145581847
4.375,39.375,0,-1.8715387453590375
4.375,39.625,0,-1.7883518311834687
4.375,39.875,0,-1.7444583591487959
4.375,40.125,0,-0.8866022104953298
4.375,40.375,0,-0.7354997297850294
4.375,40.625,0,-0.9678708232502551
4.375,40.875,0,-1.154642625579206
4.375,41.125,0,-1.1953406614288127
4.375,41.375,0,-1.9422131740771298
4.375,41.625,0,0.9084578685373853
4.375,41.875,0,1.168948844531482
4.375,42.125,0,0.7990827621351786
4.375,42.375,0,0.6045853465832371
4.375,42.625,0,0.5157047936930386
4.375,42.875,0,0.6985257103450601
4.375,43.125,0,
4.375,43.375,0,
4.375,43.625,0,
4.375,43.875,0,
4.375,44.125,0,
4.375,44.375,0,
4.375,44.625,0,
4.375,44.875,0,
4.375,45.125,0,
4.375,45.375,0,
4.375,45.625,0,
4.375,45.875,0,
4.375,46.125,0,
4.375,46.375,0,
4.375,46.625,0,
4.375,46.875,0,
4.375,47.125,0,
4.375,47.375,0,
4.375,47.625,0,
4.375,47.875,0,
4.625,33.125,0,
4.625,33.375,0,
4.625,33.625,0,
4.625,33.875,0,
4.625,34.125,0,
4.625,34.375,0,
4.625,34.625,0,
4.625,34.875,0,
4.625,35.125,0,
4.625,35.375,0,
4.625,35.625,0,
4.625,35.875,0,-2.880434197950029
4.625,36.125,0,-3.5382235314362123
4.625,36.375,0,-4.753424308822899
4.625,36.625,0,-4.699668118636528
4.625,36.875,0,-4.753424308822899
4.625,37.125,0,-4.753424308822899
4.625,37.375,0,-4.753424308822899
4.625,37.625,0,-4.753424308822899
4.625,37.875,0,-4.753424308822899
4.625,38.125,0,-4.753424308822899
4.625,38.375,0,-4.753424308822899
4.625,38.625,0,-4.2665856838555865
4.625,38.875,0,-3.786524182602215
4.625,39.125,0,-2.9935322675104596
4.625,39.375,0,-2.16495337729119
4.625,39.625,0,-1.6402547009879793
4.625,39.875,0,-1.7206692574667848
4.625,40.125,0,-1.0090907885932714
4.625,40.375,0,-0.011101646317922903
4.625,40.625,0,-0.02457226742738893
4.625,40.875,0,-0.05727259380319638
4.625,41.125,0,-1.7264556442901293
4.625,41.375,0,-1.9789721667955553
4.625,41.625,0,0.7990827621351786
4.625,41.875,0,1.168948844531482
4.625,42.125,0,0.6122309959637766
4.625,42.375,0,1.0299567622253682
4.625,42.625,0,1.0299567622253682
4.625,42.875,0,0.7990827621351786
4.625,43.125,0,0.7990827621351786
4.625,43.375,0,-4.753424308822899
4.625,43.625,0,
4.625,43.875,0,
4.625,44.125,0,
4.625,44.375,0,
4.625,44.625,0,
4.625,44.875,0,
4.625,45.125,0,
4.625,45.375,0,
4.625,45.625,0,
4.625,45.875,0,
4.625,46.125,0,
4.625,46.375,0,
4.625,46.625,0,
4.625,46.875,0,
4.625,47.125,0,
4.625,47.375,0,
4.625,47.625,0,
4.625,47.875,0,
4.875,33.125,0,
4.875,33.375,0,
4.875,33.625,0,
4.875,33.875,0,
4.875,34.125,0,
4.875,34.375,0,
4.875,34.625,0,
4.875,34.875,0,
4.875,35.125,0,
4.875,35.375,0,
4.875,35.625,0,
4.875,35.875,0,-2.6354081513067094
4.875,36.125,0,-2.6581748089238606
4.875,36.375,0,-3.136978461225576
4.875,36.625,0,-4.50540951641577
4.875,36.875,0,-4.753424308822899
4.875,37.125,0,-4.753424308822899
4.875,37.375,0,-4.753424308822899
4.875,37.625,0,-4.753424308822899
4.875,37.875,0,-4.753424308822899
4.875,38.125,0,-4.753424308822899
4.875,38.375,0,-4.718996571494274
4.875,38.625,0,-3.9195303204724112
4.875,38.875,0,-3.535440295415406
4.875,39.125,0,-3.1157076175504943
4.875,39.375,0,-1.775240210547234
4.875,39.625,0,-1.4943177489690171
4.875,39.875,0,-1.3307578538622462
4.875,40.125,0,-0.6834044033421847
4.875,40.375,0,0.04134570925932708
4.875,40.625,0,0.19134788880570394
4.875,40.875,0,0.11418529432142824
4.875,41.125,0,-0.40208150282700333
4.875,41.375,0,-0.2690661378543142
4.875,41.625,0,0.6045853465832371
4.875,41.875,0,0.9084578685373853
4.875,42.125,0,0.26927016439679585
4.875,42.375,0,0.5159888160973773
4.875,42.625,0,0.6985257103450601
4.875,42.875,0,1.0299567622253682
4.875,43.125,0,0.9084578685373853
4.875,43.375,0,0.6985257103450601
4.875,43.625,0,-1.5783106143244874
4.875,43.875,0,-3.3947089188789223
4.875,44.125,0,-2.0101918590534256
4.875,44.375,0,-1.2501119270542453
4.875,44.625,0,0.3487556955170447
4.875,44.875,0,0.6049250729620604
4.875,45.125,0,-1.4581594837267609
4.875,45.375,0,
4.875,45.625,0,
4.875,45.875,0,
4.875,46.125,0,
4.875,46.375,0,
4.875,46.625,0,
4.875,46.875,0,
4.875,47.125,0,
4.875,47.375,0,
4.875,47.625,0,
4.875,47.875,0,
5.125,33.125,0,
5.125,33.375,0,
5.125,33.625,0,
5.125,33.875,0,
5.125,34.125,0,
5.125,34.375,0,
5.125,34.625,0,
5.125,34.875,0,
5.125,35.125,0,
5.125,35.375,0,
5.125,35.625,0,
5.125,35.875,0,-2.395581931039837
5.125,36.125,0,-2.555977299070463
5.125,36.375,0,-3.080908995955947
5.125,36.625,0,-3.51745513684615
5.125,36.875,0,-4.27877063943931
5.125,37.125,0,-4.753424308822899
5.125,37.375,0,-4.753424308822899
5.125,37.625,0,-4.753424308822899
5.125,37.875,0,-4.753424308822899
5.125,38.125,0,-4.753424308822899
5.125,38.375,0,-4.753424308822899
5.125,38.625,0,-3.315785436982751
5.125,38.875,0,-3.3911438175516007
5.125,39.125,0,-3.3820262336764024
5.125,39.375,0,-1.8376027243406505
5.125,39.625,0,-1.1056995430466499
5.125,39.875,0,-0.7705768473111584
5.125,40.125,0,-0.5740150516859798
5.125,40.375,0,-0.5239097512069758
5.125,40.625,0,-0.16345189997450657
5.125,40.875,0,-0.1657550740551394
5.125,41.125,0,-0.32969528798773334
5.125,41.375,0,-0.037988351230282213
5.125,41.625,0,0.038428110306625046
5.125,41.875,0,0.6985257103450601
5.125,42.125,0,0.5157047936930386
5.125,42.375,0,0.7990827621351786
5.125,42.625,0,-1.324422833496681
5.125,42.875,0,0.3487556955170447
5.125,43.125,0,0.3487556955170447
5.125,43.375,0,0.6045853465832371
5.125,43.625,0,0.2690661378543142
5.125,43.875,0,0.5157051200620579
5.125,44.125,0,0.5157047936930386
5.125,44.375,0,0.43072729929545744
5.125,44.625,0,0.43072729929545744
5.125,44.875,0,-1.0417568254070444
5.125,45.125,0,0.11618142215580882
5.125,45.375,0,-0.4609619977815861
5.125,45.625,0,
5.125,45.875,0,
5.125,46.125,0,
5.125,46.375,0,
5.125,46.625,0,
5.125,46.875,0,
5.125,47.125,0,
5.125,47.375,0,
5.125,47.625,0,
5.125,47.875,0,
5.375,33.125,0,
5.375,33.375,0,
5.375,33.625,0,
5.375,33.875,0,
5.375,34.125,0,
5.375,34.375,0,
5.375,34.625,0,
5.375,34.875,0,
5.375,35.125,0,
5.375,35.375,0,-2.1938195348027048
5.375,35.625,0,-2.601700958729087
5.375,35.875,0,-2.3767673840528816
5.375,36.125,0,-2.302004872750498
5.375,36.375,0,-3.0461167436114343
5.375,36.625,0,-3.3515351058228324
5.375,36.875,0,-4.111405462835546
5.375,37.125,0,-4.071531842103114
5.375,37.375,0,-4.416104744608662
5.375,37.625,0,-4.443182368589542
5.375,37.875,0,-4.477066772345208
5.375,38.125,0,-4.65283459466684
5.375,38.375,0,-4.342098018091927
5.375,38.625,0,-3.9186386805643236
5.375,38.875,0,-3.107135441125574
5.375,39.125,0,-3.1771958786473604
5.375,39.375,0,-2.775650074578044
5.375,39.625,0,-1.446702322365779
5.375,39.875,0,-0.9654808072109653
5.375,40.125,0,-0.9507847441471863
5.375,40.375,0,-0.7638523028255559
5.375,40.625,0,-0.5035769247918376
5.375,40.875,0,-0.6567848824437108
5.375,41.125,0,-0.3458109465310975
5.375,41.375,0,-0.2618872824471519
5.375,41.625,0,-0.33985604954727205
5.375,41.875,0,0.3487556955170447
5.375,42.125,0,0.5157047936930386
5.375,42.375,0,-0.3487492597130811
5.375,42.625,0,-0.1910520061461741
5.375,42.875,0,0.5157047936930386
5.375,43.125,0,0.2690661378543142
5.375,43.375,0,0.2690661378543142
5.375,43.625,0,-2.232268172409629
5.375,43.875,0,-0.7376134719103673
5.375,44.125,0,0.7990827621351786
5.375,44.375,0,0.6985257103450601
5.375,44.625,0,-4.753424308822899
5.375,44.875,0,0.11418529432142824
5.375,45.125,0,0.11423870851612773
5.375,45.375,0,0.11614605283227142
5.375,45.625,0,
5.375,45.875,0,
5.375,46.125,0,
5.375,46.375,0,
5.375,46.625,0,
5.375,46.875,0,
5.375,47.125,0,
5.375,47.375,0,
5.375,47.625,0,
5.375,47.875,0,
5.625,33.125,0,
5.625,33.375,0,
5.625,33.625,0,
5.625,33.875,0,
5.625,34.125,0,
5.625,34.375,0,
5.625,34.625,0,
5.625,34.875,0,
5.625,35.125,0,-1.8636827905605402
5.625,35.375,0,-2.005777836562224
5.625,35.625,0,-2.41037867940656
5.625,35.875,0,-2.058494509599786
5.625,36.125,0,-2.194103636038284
5.625,36.375,0,-3.492299917787011
5.625,36.625,0,-3.5172754596907696
5.625,36.875,0,-3.975062224530424
5.625,37.125,0,-3.853327517692941
5.625,37.375,0,-3.804149109754748
5.625,37.625,0,-3.95302722291791
5.625,37.875,0,-3.7456575837051433
5.625,38.125,0,-3.5828750171911947
5.625,38.375,0,-3.9229896539916767
5.625,38.625,0,-3.6845432772134576
5.625,38.875,0,-3.9454084950062334
5.625,39.125,0,-3.6139787178805394
5.625,39.375,0,-2.8834768532899617
5.625,39.625,0,-2.6807969623007777
5.625,39.875,0,-2.463179519679567
5.625,40.125,0,-1.8107033717504013
5.625,40.375,0,-1.1264684796536764
5.625,40.625,0,-0.9148951466817656
5.625,40.875,0,-0.3960449144618872
5.625,41.125,0,0.26906614563596293
5.625,41.375,0,-0.03798834956611188
5.625,41.625,0,-0.11418529432142838
5.625,41.875,0,0.2690661378543142
5.625,42.125,0,-0.4134837798077121
5.625,42.375,0,-0.5639558105223945
5.625,42.625,0,0.3487556955170447
5.625,42.875,0,0.9084578685373853
5.625,43.125,0,0.9084578685373853
5.625,43.375,0,0.3487556955170447
5.625,43.625,0,-1.3815456011458949
5.625,43.875,0,-1.3136954668462355
5.625,44.125,0,0.7990827621351786
5.625,44.375,0,0.3487556955170447
5.625,44.625,0,0.43072729929545744
5.625,44.875,0,0.7990827621351786
5.625,45.125,0,0.5157047936930386
5.625,45.375,0,0.6045853465832371
5.625,45.625,0,0.7004041609484114
5.625,45.875,0,
5.625,46.125,0,
5.625,46.375,0,
5.625,46.625,0,
5.625,46.875,0,
5.625,47.125,0,
5.625,47.375,0,
5.625,47.625,0,
5.625,47.875,0,
5.875,33.125,0,
5.875,33.375,0,
5.875,33.625,0,
5.875,33.875,0,
5.875,34.125,0,
5.875,34.375,0,
5.875,34.625,0,
