# init_date: 2026-05-01
# valid_start: 2026-05-02
# valid_end: 2026-05-08
# forecast_source: seas5_operational_2026
# forecast_system_version: SEAS5
# n_ensemble_members: 25
# observation_dataset: chirps_obs
# climatology_period: obs_1993_2025
# index_definition: Rainfall total (mm): ensemble mean/median/sd/quantiles, anomaly vs. climatology
# bias_correction_method: QDM (applied upstream by data provider, prior to ingestion)
# processing_date: 2026-07-20T22:24:32.606818+00:00
# software_version: 0.1.0-phase1
# no_rain_threshold_mm: 1.0
# spatial_resolution_deg: 0.25
# ensemble_statistic: median
lat,lon,spatial_ref,median
3.125,33.125,0,
3.125,33.375,0,
3.125,33.625,0,
3.125,33.875,0,
3.125,34.125,0,
3.125,34.375,0,
3.125,34.625,0,
3.125,34.875,0,
3.125,35.125,0,
3.125,35.375,0,
3.125,35.625,0,
3.125,35.875,0,
3.125,36.125,0,
3.125,36.375,0,
3.125,36.625,0,
3.125,36.875,0,
3.125,37.125,0,
3.125,37.375,0,
3.125,37.625,0,
3.125,37.875,0,
3.125,38.125,0,
3.125,38.375,0,
3.125,38.625,0,
3.125,38.875,0,
3.125,39.125,0,
3.125,39.375,0,
3.125,39.625,0,
3.125,39.875,0,
3.125,40.125,0,
3.125,40.375,0,
3.125,40.625,0,
3.125,40.875,0,
3.125,41.125,0,
3.125,41.375,0,
3.125,41.625,0,
3.125,41.875,0,
3.125,42.125,0,
3.125,42.375,0,
3.125,42.625,0,
3.125,42.875,0,
3.125,43.125,0,
3.125,43.375,0,
3.125,43.625,0,
3.125,43.875,0,
3.125,44.125,0,
3.125,44.375,0,
3.125,44.625,0,
3.125,44.875,0,
3.125,45.125,0,
3.125,45.375,0,
3.125,45.625,0,
3.125,45.875,0,
3.125,46.125,0,
3.125,46.375,0,
3.125,46.625,0,
3.125,46.875,0,
3.125,47.125,0,
3.125,47.375,0,
3.125,47.625,0,
3.125,47.875,0,
3.375,33.125,0,
3.375,33.375,0,
3.375,33.625,0,
3.375,33.875,0,
3.375,34.125,0,
3.375,34.375,0,
3.375,34.625,0,
3.375,34.875,0,
3.375,35.125,0,
3.375,35.375,0,
3.375,35.625,0,
3.375,35.875,0,
3.375,36.125,0,
3.375,36.375,0,
3.375,36.625,0,
3.375,36.875,0,
3.375,37.125,0,
3.375,37.375,0,
3.375,37.625,0,
3.375,37.875,0,
3.375,38.125,0,
3.375,38.375,0,
3.375,38.625,0,
3.375,38.875,0,
3.375,39.125,0,42.77078
3.375,39.375,0,31.550995
3.375,39.625,0,28.496119
3.375,39.875,0,
3.375,40.125,0,
3.375,40.375,0,
3.375,40.625,0,
3.375,40.875,0,
3.375,41.125,0,
3.375,41.375,0,
3.375,41.625,0,
3.375,41.875,0,
3.375,42.125,0,
3.375,42.375,0,
3.375,42.625,0,
3.375,42.875,0,
3.375,43.125,0,
3.375,43.375,0,
3.375,43.625,0,
3.375,43.875,0,
3.375,44.125,0,
3.375,44.375,0,
3.375,44.625,0,
3.375,44.875,0,
3.375,45.125,0,
3.375,45.375,0,
3.375,45.625,0,
3.375,45.875,0,
3.375,46.125,0,
3.375,46.375,0,
3.375,46.625,0,
3.375,46.875,0,
3.375,47.125,0,
3.375,47.375,0,
3.375,47.625,0,
3.375,47.875,0,
3.625,33.125,0,
3.625,33.375,0,
3.625,33.625,0,
3.625,33.875,0,
3.625,34.125,0,
3.625,34.375,0,
3.625,34.625,0,
3.625,34.875,0,
3.625,35.125,0,
3.625,35.375,0,
3.625,35.625,0,
3.625,35.875,0,
3.625,36.125,0,
3.625,36.375,0,
3.625,36.625,0,
3.625,36.875,0,
3.625,37.125,0,
3.625,37.375,0,
3.625,37.625,0,
3.625,37.875,0,26.067688
3.625,38.125,0,27.860022
3.625,38.375,0,41.021442
3.625,38.625,0,54.100033
3.625,38.875,0,59.544724
3.625,39.125,0,54.684986
3.625,39.375,0,42.586365
3.625,39.625,0,35.363647
3.625,39.875,0,32.76058
3.625,40.125,0,
3.625,40.375,0,
3.625,40.625,0,
3.625,40.875,0,
3.625,41.125,0,
3.625,41.375,0,
3.625,41.625,0,
3.625,41.875,0,
3.625,42.125,0,
3.625,42.375,0,
3.625,42.625,0,
3.625,42.875,0,
3.625,43.125,0,
3.625,43.375,0,
3.625,43.625,0,
3.625,43.875,0,
3.625,44.125,0,
3.625,44.375,0,
3.625,44.625,0,
3.625,44.875,0,
3.625,45.125,0,
3.625,45.375,0,
3.625,45.625,0,
3.625,45.875,0,
3.625,46.125,0,
3.625,46.375,0,
3.625,46.625,0,
3.625,46.875,0,
3.625,47.125,0,
3.625,47.375,0,
3.625,47.625,0,
3.625,47.875,0,
3.875,33.125,0,
3.875,33.375,0,
3.875,33.625,0,
3.875,33.875,0,
3.875,34.125,0,
3.875,34.375,0,
3.875,34.625,0,
3.875,34.875,0,
3.875,35.125,0,
3.875,35.375,0,
3.875,35.625,0,
3.875,35.875,0,
3.875,36.125,0,
3.875,36.375,0,
3.875,36.625,0,
3.875,36.875,0,
3.875,37.125,0,
3.875,37.375,0,
3.875,37.625,0,12.937858
3.875,37.875,0,19.628536
3.875,38.125,0,44.039627
3.875,38.375,0,55.689724
3.875,38.625,0,56.30029
3.875,38.875,0,61.01648
3.875,39.125,0,60.49761
3.875,39.375,0,48.574974
3.875,39.625,0,42.03582
3.875,39.875,0,31.950594
3.875,40.125,0,31.961552
3.875,40.375,0,
3.875,40.625,0,
3.875,40.875,0,
3.875,41.125,0,23.366879
3.875,41.375,0,20.67223
3.875,41.625,0,23.075243
3.875,41.875,0,23.028303
3.875,42.125,0,
3.875,42.375,0,
3.875,42.625,0,
3.875,42.875,0,
3.875,43.125,0,
3.875,43.375,0,
3.875,43.625,0,
3.875,43.875,0,
3.875,44.125,0,
3.875,44.375,0,
3.875,44.625,0,
3.875,44.875,0,
3.875,45.125,0,
3.875,45.375,0,
3.875,45.625,0,
3.875,45.875,0,
3.875,46.125,0,
3.875,46.375,0,
3.875,46.625,0,
3.875,46.875,0,
3.875,47.125,0,
3.875,47.375,0,
3.875,47.625,0,
3.875,47.875,0,
4.125,33.125,0,
4.125,33.375,0,
4.125,33.625,0,
4.125,33.875,0,
4.125,34.125,0,
4.125,34.375,0,
4.125,34.625,0,
4.125,34.875,0,
4.125,35.125,0,
4.125,35.375,0,
4.125,35.625,0,
4.125,35.875,0,
4.125,36.125,0,
4.125,36.375,0,
4.125,36.625,0,
4.125,36.875,0,
4.125,37.125,0,12.793339
4.125,37.375,0,16.123362
4.125,37.625,0,21.227768
4.125,37.875,0,40.740143
4.125,38.125,0,72.89871
4.125,38.375,0,58.59666
4.125,38.625,0,52.10027
4.125,38.875,0,61.915565
4.125,39.125,0,62.998016
4.125,39.375,0,51.032734
4.125,39.625,0,51.751446
4.125,39.875,0,45.20684
4.125,40.125,0,44.273445
4.125,40.375,0,34.472713
4.125,40.625,0,28.627422
4.125,40.875,0,27.070442
4.125,41.125,0,27.904984
4.125,41.375,0,27.006008
4.125,41.625,0,26.09096
4.125,41.875,0,27.486889
4.125,42.125,0,27.291342
4.125,42.375,0,32.575993
4.125,42.625,0,27.749393
4.125,42.875,0,
4.125,43.125,0,
4.125,43.375,0,
4.125,43.625,0,
4.125,43.875,0,
4.125,44.125,0,
4.125,44.375,0,
4.125,44.625,0,
4.125,44.875,0,
4.125,45.125,0,
4.125,45.375,0,
4.125,45.625,0,
4.125,45.875,0,
4.125,46.125,0,
4.125,46.375,0,
4.125,46.625,0,
4.125,46.875,0,
4.125,47.125,0,
4.125,47.375,0,
4.125,47.625,0,
4.125,47.875,0,
4.375,33.125,0,
4.375,33.375,0,
4.375,33.625,0,
4.375,33.875,0,
4.375,34.125,0,
4.375,34.375,0,
4.375,34.625,0,
4.375,34.875,0,
4.375,35.125,0,
4.375,35.375,0,
4.375,35.625,0,
4.375,35.875,0,15.713682
4.375,36.125,0,21.368198
4.375,36.375,0,11.352449
4.375,36.625,0,11.612326
4.375,36.875,0,15.25007
4.375,37.125,0,32.287487
4.375,37.375,0,32.829628
4.375,37.625,0,47.751865
4.375,37.875,0,59.650047
4.375,38.125,0,59.792416
4.375,38.375,0,53.94972
4.375,38.625,0,59.74982
4.375,38.875,0,57.157906
4.375,39.125,0,63.124153
4.375,39.375,0,59.107273
4.375,39.625,0,61.452938
4.375,39.875,0,66.99105
4.375,40.125,0,58.679398
4.375,40.375,0,42.772453
4.375,40.625,0,32.06912
4.375,40.875,0,28.081678
4.375,41.125,0,28.279835
4.375,41.375,0,30.651358
4.375,41.625,0,28.771706
4.375,41.875,0,26.675083
4.375,42.125,0,28.094446
4.375,42.375,0,29.507385
4.375,42.625,0,27.467627
4.375,42.875,0,20.218903
4.375,43.125,0,
4.375,43.375,0,
4.375,43.625,0,
4.375,43.875,0,
4.375,44.125,0,
4.375,44.375,0,
4.375,44.625,0,
4.375,44.875,0,
4.375,45.125,0,
4.375,45.375,0,
4.375,45.625,0,
4.375,45.875,0,
4.375,46.125,0,
4.375,46.375,0,
4.375,46.625,0,
4.375,46.875,0,
4.375,47.125,0,
4.375,47.375,0,
4.375,47.625,0,
4.375,47.875,0,
4.625,33.125,0,
4.625,33.375,0,
4.625,33.625,0,
4.625,33.875,0,
4.625,34.125,0,
4.625,34.375,0,
4.625,34.625,0,
4.625,34.875,0,
4.625,35.125,0,
4.625,35.375,0,
4.625,35.625,0,
4.625,35.875,0,14.250093
4.625,36.125,0,22.244785
4.625,36.375,0,19.436657
4.625,36.625,0,18.165684
4.625,36.875,0,16.121342
4.625,37.125,0,37.50924
4.625,37.375,0,43.152363
4.625,37.625,0,47.898357
4.625,37.875,0,50.640167
4.625,38.125,0,61.67143
4.625,38.375,0,55.991917
4.625,38.625,0,54.947456
4.625,38.875,0,63.751797
4.625,39.125,0,60.662098
4.625,39.375,0,61.59629
4.625,39.625,0,61.23922
4.625,39.875,0,58.461456
4.625,40.125,0,55.52265
4.625,40.375,0,46.617332
4.625,40.625,0,38.80967
4.625,40.875,0,37.0388
4.625,41.125,0,31.668491
4.625,41.375,0,32.321865
4.625,41.625,0,29.160988
4.625,41.875,0,27.142612
4.625,42.125,0,27.535995
4.625,42.375,0,26.719963
4.625,42.625,0,23.5513
4.625,42.875,0,17.894611
4.625,43.125,0,12.724373
4.625,43.375,0,15.400595
4.625,43.625,0,
4.625,43.875,0,
4.625,44.125,0,
4.625,44.375,0,
4.625,44.625,0,
4.625,44.875,0,
4.625,45.125,0,
4.625,45.375,0,
4.625,45.625,0,
4.625,45.875,0,
4.625,46.125,0,
4.625,46.375,0,
4.625,46.625,0,
4.625,46.875,0,
4.625,47.125,0,
4.625,47.375,0,
4.625,47.625,0,
4.625,47.875,0,
4.875,33.125,0,
4.875,33.375,0,
4.875,33.625,0,
4.875,33.875,0,
4.875,34.125,0,
4.875,34.375,0,
4.875,34.625,0,
4.875,34.875,0,
4.875,35.125,0,
4.875,35.375,0,
4.875,35.625,0,
4.875,35.875,0,17.490135
4.875,36.125,0,27.632294
4.875,36.375,0,35.039978
4.875,36.625,0,32.78996
4.875,36.875,0,27.12316
4.875,37.125,0,53.97088
4.875,37.375,0,64.39722
4.875,37.625,0,60.6831
4.875,37.875,0,55.67474
4.875,38.125,0,55.346226
4.875,38.375,0,56.00324
4.875,38.625,0,63.787548
4.875,38.875,0,66.867386
4.875,39.125,0,64.34936
4.875,39.375,0,59.320766
4.875,39.625,0,62.517437
4.875,39.875,0,57.44655
4.875,40.125,0,49.2057
4.875,40.375,0,45.94559
4.875,40.625,0,42.78637
4.875,40.875,0,39.938282
4.875,41.125,0,38.9376
4.875,41.375,0,34.8564
4.875,41.625,0,30.324396
4.875,41.875,0,25.73741
4.875,42.125,0,20.92428
4.875,42.375,0,22.159088
4.875,42.625,0,19.301212
4.875,42.875,0,14.856094
4.875,43.125,0,12.468613
4.875,43.375,0,12.395245
4.875,43.625,0,16.11698
4.875,43.875,0,21.339851
4.875,44.125,0,21.962158
4.875,44.375,0,21.145548
4.875,44.625,0,20.44399
4.875,44.875,0,19.633293
4.875,45.125,0,20.910559
4.875,45.375,0,
4.875,45.625,0,
4.875,45.875,0,
4.875,46.125,0,
4.875,46.375,0,
4.875,46.625,0,
4.875,46.875,0,
4.875,47.125,0,
4.875,47.375,0,
4.875,47.625,0,
4.875,47.875,0,
5.125,33.125,0,
5.125,33.375,0,
5.125,33.625,0,
5.125,33.875,0,
5.125,34.125,0,
5.125,34.375,0,
5.125,34.625,0,
5.125,34.875,0,
5.125,35.125,0,
5.125,35.375,0,
5.125,35.625,0,
5.125,35.875,0,27.805843
5.125,36.125,0,41.66795
5.125,36.375,0,51.830402
5.125,36.625,0,47.00267
5.125,36.875,0,45.024414
5.125,37.125,0,64.75137
5.125,37.375,0,66.472305
5.125,37.625,0,57.83726
5.125,37.875,0,68.67224
5.125,38.125,0,76.41692
5.125,38.375,0,73.2148
5.125,38.625,0,67.35247
5.125,38.875,0,66.77637
5.125,39.125,0,66.33865
5.125,39.375,0,62.644157
5.125,39.625,0,61.958218
5.125,39.875,0,62.828087
5.125,40.125,0,50.979214
5.125,40.375,0,50.984222
5.125,40.625,0,50.189972
5.125,40.875,0,48.14722
5.125,41.125,0,44.764057
5.125,41.375,0,40.35917
5.125,41.625,0,31.459665
5.125,41.875,0,23.209532
5.125,42.125,0,20.104767
5.125,42.375,0,17.999086
5.125,42.625,0,17.081047
5.125,42.875,0,11.372879
5.125,43.125,0,10.361401
5.125,43.375,0,11.035047
5.125,43.625,0,11.577813
5.125,43.875,0,12.992817
5.125,44.125,0,15.058512
5.125,44.375,0,15.594924
5.125,44.625,0,15.414563
5.125,44.875,0,15.273723
5.125,45.125,0,14.796422
5.125,45.375,0,18.749832
5.125,45.625,0,
5.125,45.875,0,
5.125,46.125,0,
5.125,46.375,0,
5.125,46.625,0,
5.125,46.875,0,
5.125,47.125,0,
5.125,47.375,0,
5.125,47.625,0,
5.125,47.875,0,
5.375,33.125,0,
5.375,33.375,0,
5.375,33.625,0,
5.375,33.875,0,
5.375,34.125,0,
5.375,34.375,0,
5.375,34.625,0,
5.375,34.875,0,
5.375,35.125,0,
5.375,35.375,0,25.883438
5.375,35.625,0,29.767118
5.375,35.875,0,36.190224
5.375,36.125,0,45.283695
5.375,36.375,0,54.439003
5.375,36.625,0,56.49428
5.375,36.875,0,54.556347
5.375,37.125,0,62.285652
5.375,37.375,0,79.11554
5.375,37.625,0,82.212555
5.375,37.875,0,91.87167
5.375,38.125,0,97.393394
5.375,38.375,0,93.70857
5.375,38.625,0,79.76738
5.375,38.875,0,80.93654
5.375,39.125,0,80.077705
5.375,39.375,0,70.63661
5.375,39.625,0,74.908646
5.375,39.875,0,70.24393
5.375,40.125,0,63.243927
5.375,40.375,0,61.450603
5.375,40.625,0,58.87578
5.375,40.875,0,55.31691
5.375,41.125,0,54.51652
5.375,41.375,0,49.23984
5.375,41.625,0,38.12403
5.375,41.875,0,26.221998
5.375,42.125,0,17.7687
5.375,42.375,0,14.101531
5.375,42.625,0,10.656152
5.375,42.875,0,11.324002
5.375,43.125,0,10.836642
5.375,43.375,0,13.5391
5.375,43.625,0,11.862108
5.375,43.875,0,11.990185
5.375,44.125,0,11.867666
5.375,44.375,0,14.164527
5.375,44.625,0,15.4719925
5.375,44.875,0,13.086594
5.375,45.125,0,15.283833
5.375,45.375,0,17.057404
5.375,45.625,0,
5.375,45.875,0,
5.375,46.125,0,
5.375,46.375,0,
5.375,46.625,0,
5.375,46.875,0,
5.375,47.125,0,
5.375,47.375,0,
5.375,47.625,0,
5.375,47.875,0,
5.625,33.125,0,
5.625,33.375,0,
5.625,33.625,0,
5.625,33.875,0,
5.625,34.125,0,
5.625,34.375,0,
5.625,34.625,0,
5.625,34.875,0,
5.625,35.125,0,27.873356
5.625,35.375,0,35.32806
5.625,35.625,0,37.69089
5.625,35.875,0,42.756866
5.625,36.125,0,56.137905
5.625,36.375,0,58.856228
5.625,36.625,0,64.659424
5.625,36.875,0,56.90175
5.625,37.125,0,69.476
5.625,37.375,0,84.25942
5.625,37.625,0,90.377914
5.625,37.875,0,101.90509
5.625,38.125,0,115.88972
5.625,38.375,0,112.63348
5.625,38.625,0,109.37431
5.625,38.875,0,102.35879
5.625,39.125,0,96.06627
5.625,39.375,0,80.97419
5.625,39.625,0,76.79811
5.625,39.875,0,67.51886
5.625,40.125,0,70.82878
5.625,40.375,0,64.47846
5.625,40.625,0,62.53697
5.625,40.875,0,55.2977
5.625,41.125,0,57.078266
5.625,41.375,0,56.408516
5.625,41.625,0,45.6877
5.625,41.875,0,32.695454
5.625,42.125,0,22.64974
5.625,42.375,0,18.406435
5.625,42.625,0,16.590279
5.625,42.875,0,13.792735
5.625,43.125,0,13.243232
5.625,43.375,0,10.873156
5.625,43.625,0,11.7214985
5.625,43.875,0,15.00647
5.625,44.125,0,13.5240345
5.625,44.375,0,16.13552
5.625,44.625,0,15.431596
5.625,44.875,0,15.88661
5.625,45.125,0,18.358995
5.625,45.375,0,20.62688
5.625,45.625,0,23.594803
5.625,45.875,0,
5.625,46.125,0,
5.625,46.375,0,
5.625,46.625,0,
5.625,46.875,0,
5.625,47.125,0,
5.625,47.375,0,
5.625,47.625,0,
5.625,47.875,0,
5.875,33.125,0,
5.875,33.375,0,
5.875,33.625,0,
5.875,33.875,0,
5.875,34.125,0,
5.875,34.375,0,
5.875,34.625,0,
5.875,34.875,0,23.998444
5.875,35.125,0,29.172628
5.875,35.375,0,34.11625
5.875,35.625,0,39.807137
5.875,35.875,0,48.53587
5.875,36.125,0,56.67556
5.875,36.375,0,64.346466
5.875,36.625,0,72.760956
5.875,36.875,0,66.51282
5.875,37.125,0,71.89046
5.875,37.375,0,84.672226
5.875,37.625,0,84.41461
5.875,37.875,0,98.82083
5.875,38.125,0,109.31255
5.875,38.375,0,125.71215
5.875,38.625,0,115.186935
5.875,38.875,0,110.414505
5.875,39.125,0,92.22437
5.875,39.375,0,95.85757
5.875,39.625,0,88.92401
5.875,39.875,0,79.28369
5.875,40.125,0,77.165634
5.875,40.375,0,67.260025
5.875,40.625,0,62.94341
5.875,40.875,0,60.124977
5.875,41.125,0,65.22615
5.875,41.375,0,60.04929
5.875,41.625,0,44.65554
5.875,41.875,0,40.178185
5.875,42.125,0,34.958344
5.875,42.375,0,29.368425
5.875,42.625,0,20.408428
5.875,42.875,0,16.316631
5.875,43.125,0,13.991477
5.875,43.375,0,14.879843
5.875,43.625,0,16.054482
5.875,43.875,0,16.097015
5.875,44.125,0,20.211428
5.875,44.375,0,19.467735
5.875,44.625,0,19.793402
5.875,44.875,0,20.159775
5.875,45.125,0,26.001238
5.875,45.375,0,29.715183
5.875,45.625,0,30.087328
5.875,45.875,0,29.451067
5.875,46.125,0,
5.875,46.375,0,
5.875,46.625,0,
5.875,46.875,0,
5.875,47.125,0,
5.875,47.375,0,
5.875,47.625,0,
5.875,47.875,0,
6.125,33.125,0,
6.125,33.375,0,
6.125,33.625,0,
6.125,33.875,0,
6.125,34.125,0,
6.125,34.375,0,
6.125,34.625,0,
6.125,34.875,0,28.098145
6.125,35.125,0,34.770264
6.125,35.375,0,38.95479
6.125,35.625,0,47.212082
6.125,35.875,0,49.310833
6.125,36.125,0,61.736916
6.125,36.375,0,77.66587
6.125,36.625,0,92.139046
6.125,36.875,0,80.162476
6.125,37.125,0,85.24781
6.125,37.375,0,86.003296
6.125,37.625,0,71.88045
6.125,37.875,0,76.21216
6.125,38.125,0,111.16322
6.125,38.375,0,136.13242
6.125,38.625,0,128.12463
6.125,38.875,0,116.32311
6.125,39.125,0,104.48408
6.125,39.375,0,102.98094
6.125,39.625,0,98.497765
