country,district,year,season,rainfall_mm,latitude,longitude
Ethiopia,Borena,1991,MAM,307.32,4.95,38.15
Ethiopia,Borena,1992,MAM,272.4,4.95,38.15
Ethiopia,Borena,1993,MAM,315.62,4.95,38.15
Ethiopia,Borena,1994,MAM,363.77,4.95,38.15
Ethiopia,Borena,1995,MAM,267.12,4.95,38.15
Ethiopia,Borena,1996,MAM,267.12,4.95,38.15
Ethiopia,Borena,1997,MAM,366.86,4.95,38.15
Ethiopia,Borena,1998,MAM,322.21,4.95,38.15
Ethiopia,Borena,1999,MAM,254.18,4.95,38.15
Ethiopia,Borena,2000,MAM,309.84,4.95,38.15
Ethiopia,Borena,2001,MAM,254.51,4.95,38.15
Ethiopia,Borena,2002,MAM,254.38,4.95,38.15
Ethiopia,Borena,2003,MAM,293.31,4.95,38.15
Ethiopia,Borena,2004,MAM,174.77,4.95,38.15
Ethiopia,Borena,2005,MAM,185.13,4.95,38.15
Ethiopia,Borena,2006,MAM,249.07,4.95,38.15
Ethiopia,Borena,2007,MAM,224.29,4.95,38.15
Ethiopia,Borena,2008,MAM,297.28,4.95,38.15
Ethiopia,Borena,2009,MAM,230.06,4.95,38.15
Ethiopia,Borena,2010,MAM,202.32,4.95,38.15
Ethiopia,Borena,2011,MAM,360.61,4.95,38.15
Ethiopia,Borena,2012,MAM,267.58,4.95,38.15
Ethiopia,Borena,2013,MAM,283.71,4.95,38.15
Ethiopia,Borena,2014,MAM,201.64,4.95,38.15
Ethiopia,Borena,2015,MAM,250.06,4.95,38.15
Ethiopia,Borena,2016,MAM,286.1,4.95,38.15
Ethiopia,Borena,2017,MAM,216.7,4.95,38.15
Ethiopia,Borena,2018,MAM,300.66,4.95,38.15
Ethiopia,Borena,2019,MAM,246.96,4.95,38.15
Ethiopia,Borena,2020,MAM,263.96,4.95,38.15
Ethiopia,Borena,2026,MAM,162.4,4.95,38.15
Ethiopia,Afar Zone 1,1991,MAM,78.15,12.15,40.75
Ethiopia,Afar Zone 1,1992,MAM,146.86,12.15,40.75
Ethiopia,Afar Zone 1,1993,MAM,94.62,12.15,40.75
Ethiopia,Afar Zone 1,1994,MAM,65.38,12.15,40.75
Ethiopia,Afar Zone 1,1995,MAM,118.03,12.15,40.75
Ethiopia,Afar Zone 1,1996,MAM,60.82,12.15,40.75
Ethiopia,Afar Zone 1,1997,MAM,100.85,12.15,40.75
Ethiopia,Afar Zone 1,1998,MAM,40.13,12.15,40.75
Ethiopia,Afar Zone 1,1999,MAM,57.81,12.15,40.75
Ethiopia,Afar Zone 1,2000,MAM,100.51,12.15,40.75
Ethiopia,Afar Zone 1,2001,MAM,115.68,12.15,40.75
Ethiopia,Afar Zone 1,2002,MAM,99.8,12.15,40.75
Ethiopia,Afar Zone 1,2003,MAM,91.76,12.15,40.75
